################################################################
# abuse.ch SSL IPBL (Aggressive)                               #
# Last updated: 2018-03-07 17:45:01 (UTC)                      #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# DstIP,DstPort,reason
105.227.251.219,443,Quakbot C&C;
105.228.99.40,443,Qadars C&C;
106.187.38.36,473,Dridex C&C;
107.15.99.91,443,Redyms C&C;
107.155.72.119,1602,Adwind C&C;
107.161.145.175,443,Qadars C&C;
107.161.160.30,8443,Dridex C&C;
107.161.188.203,8443,AKBuilder C&C;
107.161.27.153,443,KINS C&C;
107.170.0.14,8043,Dridex C&C;
107.170.1.205,8443,Dridex C&C;
107.170.101.158,4143,Dridex C&C;
107.170.132.24,443,Malware C&C;
107.170.146.72,44343,Dridex C&C;
107.170.231.118,4143,Dridex C&C;
107.170.237.112,473,Dridex C&C;
107.170.4.194,943,Dridex C&C;
107.170.65.224,4143,Dridex C&C;
107.171.180.198,443,Qadars C&C;
107.172.41.79,443,Malware C&C;
107.173.168.160,3040,Adwind C&C;
107.181.161.145,443,KINS C&C;
107.181.161.211,443,Tinba MITM
107.181.174.84,443,KINS C&C;
107.181.187.101,443,PandaBanker C&C;
107.181.187.141,443,AKBuilder C&C;
107.181.19.88,80,Gootkit C&C;
107.181.255.244,443,Dridex C&C;
107.182.236.109,80,Gootkit C&C;
107.189.162.131,443,TrickBot C&C;
107.191.119.162,80,Gootkit C&C;
108.163.168.203,443,Shylock C&C;
108.166.178.106,443,AKBuilder C&C;
108.166.178.146,443,AKBuilder C&C;
108.21.203.155,443,Quakbot C&C;
108.35.21.79,443,Quakbot C&C;
108.49.159.2,995,Quakbot C&C;
108.61.117.6,443,Gozi MITM
108.61.177.253,443,Gozi MITM
108.61.178.212,80,Gootkit C&C;
108.61.198.109,443,KINS C&C;
108.61.252.108,443,Gozi MITM
108.61.49.30,443,KINS C&C;
108.61.51.166,443,KINS C&C;
108.61.51.174,443,KINS C&C;
109.104.165.232,443,Redyms C&C;
109.104.183.141,443,KINS C&C;
109.104.189.67,443,KINS C&C;
109.104.92.167,13443,Dridex C&C;
109.120.150.127,443,KINS C&C;
109.120.150.201,443,KINS C&C;
109.120.152.175,443,PandaZeuS C&C;
109.120.155.159,443,TorrentLocker C&C;
109.120.155.23,443,TrickBot C&C;
109.120.155.254,443,TorrentLocker C&C;
109.120.156.2,443,TorrentLocker C&C;
109.120.156.217,443,Gozi C&C;
109.120.161.224,443,KINS C&C;
109.120.161.56,443,KINS C&C;
109.120.161.59,443,KINS C&C;
109.120.161.77,443,KINS C&C;
109.120.161.78,443,KINS C&C;
109.120.164.205,443,KINS C&C;
109.120.165.20,443,KINS C&C;
109.120.165.240,443,KINS C&C;
109.120.169.94,18443,Dridex C&C;
109.120.173.251,443,KINS C&C;
109.120.173.94,443,KINS C&C;
109.120.177.111,443,KINS C&C;
109.120.177.165,443,Gozi MITM
109.120.177.252,443,KINS C&C;
109.120.180.143,443,KINS C&C;
109.120.180.45,443,KINS C&C;
109.120.180.46,443,KINS C&C;
109.120.180.53,443,KINS C&C;
109.120.181.170,443,KINS C&C;
109.120.182.105,443,KINS C&C;
109.120.182.188,443,KINS C&C;
109.120.183.135,443,KINS C&C;
109.120.190.5,443,KINS C&C;
109.162.86.32,443,Redyms C&C;
109.162.95.100,443,KINS C&C;
109.163.233.150,443,KINS C&C;
109.163.233.151,443,KINS C&C;
109.194.13.46,443,Redyms C&C;
109.200.11.67,443,Shylock C&C;
109.200.148.114,443,Redyms C&C;
109.200.224.223,443,KINS C&C;
109.201.220.125,443,Redyms C&C;
109.203.117.155,80,Gootkit C&C;
109.230.199.19,443,Dridex C&C;
109.234.34.110,447,TrickBot C&C;
109.234.34.133,443,Retefe C&C;
109.234.34.186,443,Retefe C&C;
109.234.35.112,443,TorrentLocker C&C;
109.234.36.11,447,TrickBot C&C;
109.234.36.181,447,TrickBot C&C;
109.234.36.75,443,TorrentLocker C&C;
109.234.37.132,447,TrickBot C&C;
109.234.38.37,443,TorrentLocker C&C;
109.234.38.4,443,TorrentLocker C&C;
109.235.70.20,443,Gootkit C&C;
109.235.70.20,80,Gootkit C&C;
109.235.76.95,1843,Dridex C&C;
109.236.86.187,57016,KINS C&C;
109.236.86.213,62201,KINS C&C;
109.236.86.220,37707,KINS C&C;
109.236.86.220,65499,KINS C&C;
109.236.86.221,55999,KINS C&C;
109.236.89.196,443,Gozi MITM
109.237.108.176,443,TorrentLocker C&C;
109.237.109.148,443,TorrentLocker C&C;
109.237.109.246,443,KINS C&C;
109.237.111.126,443,TorrentLocker C&C;
109.237.47.9,443,KINS C&C;
109.248.222.180,443,Vawtrak C&C;
109.248.32.176,443,Vawtrak C&C;
109.251.126.134,443,KINS C&C;
109.254.58.99,443,KINS C&C;
109.68.190.175,443,ZeuS C&C;
109.72.120.184,443,KINS C&C;
109.72.120.184,443,Redyms C&C;
109.74.146.18,1443,Dridex C&C;
109.74.9.119,4431,Dridex C&C;
109.86.210.227,443,KINS C&C;
109.86.230.210,443,KINS C&C;
109.87.176.87,443,Redyms C&C;
109.87.187.170,443,Redyms C&C;
109.87.187.170,443,KINS C&C;
109.87.204.143,443,Redyms C&C;
109.87.249.48,443,Redyms C&C;
109.87.58.69,443,KINS C&C;
109.87.62.190,443,KINS C&C;
110.138.108.142,3448,Dridex C&C;
110.164.205.225,80,Gootkit C&C;
110.77.142.156,8143,Dridex C&C;
111.118.187.81,443,KINS C&C;
112.166.103.245,443,Quakbot C&C;
112.20.178.110,80,Gootkit C&C;
112.217.178.26,80,Gootkit C&C;
113.162.5.179,443,Quakbot C&C;
113.167.98.166,443,Quakbot C&C;
113.186.80.2,443,Quakbot C&C;
113.204.137.55,443,KINS C&C;
113.53.234.218,448,Dridex C&C;
114.113.148.141,443,Dridex C&C;
114.215.108.157,8443,Dridex C&C;
114.215.223.85,443,Ransomware C&C;
114.37.52.2,443,Qadars C&C;
115.115.192.245,80,Gootkit C&C;
115.124.125.19,80,Gootkit C&C;
115.186.139.104,443,TrickBot C&C;
115.249.247.26,4538,Dridex C&C;
115.76.170.211,443,Quakbot C&C;
115.76.205.33,443,Quakbot C&C;
115.90.71.164,80,Gootkit C&C;
116.100.211.197,443,Qadars C&C;
116.100.36.175,443,Redyms C&C;
116.108.114.214,443,Quakbot C&C;
116.118.28.229,443,Quakbot C&C;
117.169.20.208,80,Gootkit C&C;
117.199.204.238,443,Quakbot C&C;
117.200.11.11,443,Quakbot C&C;
117.204.131.25,443,Quakbot C&C;
117.220.210.235,443,Quakbot C&C;
117.221.26.63,443,Quakbot C&C;
117.239.192.228,443,Dridex C&C;
117.7.135.67,443,Quakbot C&C;
117.99.183.127,443,Quakbot C&C;
118.174.151.27,943,Dridex C&C;
118.193.237.233,80,Gootkit C&C;
118.69.201.20,1443,Dridex C&C;
118.91.178.114,443,TrickBot C&C;
118.91.178.121,443,TrickBot C&C;
118.91.178.145,443,TrickBot C&C;
118.91.178.98,447,TrickBot C&C;
118.98.221.68,448,Dridex C&C;
119.160.223.114,343,Dridex C&C;
119.160.223.115,1143,Dridex C&C;
119.246.242.148,443,Redyms C&C;
119.28.153.245,443,Zloader C&C;
119.47.112.227,473,Dridex C&C;
119.59.124.163,40443,Dridex C&C;
119.81.87.154,443,Dridex C&C;
120.114.184.49,80,Gootkit C&C;
120.138.18.110,53443,Dridex C&C;
120.145.53.93,2222,Quakbot C&C;
120.150.250.109,443,Qadars C&C;
120.24.84.63,443,Ransomware C&C;
121.223.163.197,2222,Quakbot C&C;
121.41.25.162,443,Ransomware C&C;
122.164.197.0,443,Qadars C&C;
122.174.13.63,443,Quakbot C&C;
122.252.225.133,80,Gootkit C&C;
123.203.102.113,443,Redyms C&C;
123.206.198.12,8888,AKBuilder C&C;
124.156.129.29,443,KINS C&C;
124.171.125.94,2222,Quakbot C&C;
124.219.79.244,443,Dridex C&C;
125.134.125.208,443,KINS C&C;
125.212.205.196,80,Gootkit C&C;
125.212.205.209,443,Shifu C&C;
125.212.205.220,80,Gootkit C&C;
125.26.255.230,443,Qadars C&C;
128.135.149.243,443,Dridex C&C;
128.199.122.196,6446,Dridex C&C;
128.199.186.92,643,Dridex C&C;
128.199.239.142,8843,Dridex C&C;
128.199.244.136,443,Dridex C&C;
130.204.157.17,443,KINS C&C;
130.204.240.102,443,Redyms C&C;
130.255.55.6,443,Quakbot C&C;
130.88.148.74,443,Malware C&C;
130.88.149.87,53443,Dridex C&C;
131.108.170.231,443,Quakbot C&C;
131.153.37.30,447,TrickBot C&C;
132.206.59.132,443,Quakbot C&C;
132.248.49.100,53443,Dridex C&C;
133.242.50.107,443,KINS C&C;
134.0.115.157,8443,Dridex C&C;
134.19.176.150,7777,Adwind C&C;
134.19.180.78,443,KINS C&C;
134.249.201.60,443,KINS C&C;
134.249.238.140,443,Redyms C&C;
134.249.238.140,443,KINS C&C;
134.249.24.200,443,Redyms C&C;
134.249.29.111,443,KINS C&C;
134.249.31.13,443,Redyms C&C;
134.249.40.43,443,KINS C&C;
134.249.43.14,443,KINS C&C;
134.249.43.14,443,Redyms C&C;
134.249.54.24,443,Redyms C&C;
134.249.65.209,443,KINS C&C;
134.249.74.86,443,Redyms C&C;
134.255.221.192,80,Gootkit C&C;
136.145.86.27,3448,Dridex C&C;
136.243.124.143,443,Quakbot C&C;
136.243.14.142,8443,Dridex C&C;
136.243.209.34,443,Dridex C&C;
136.243.219.242,443,Dridex C&C;
136.243.237.218,443,Dridex C&C;
136.243.87.113,443,Ransomware C&C;
136.243.99.219,443,TorrentLocker C&C;
137.135.208.245,443,KINS C&C;
137.74.103.16,9090,Adwind C&C;
137.74.150.218,443,TrickBot C&C;
137.74.157.90,2020,Adwind C&C;
137.74.157.92,2020,Adwind C&C;
137.74.175.83,443,Vawtrak C&C;
137.74.194.227,443,Vawtrak C&C;
137.74.199.27,443,Vawtrak C&C;
138.128.125.153,4033,Dridex C&C;
138.197.255.18,4143,Dridex C&C;
138.201.69.137,443,ZeuS C&C;
138.204.171.113,80,Gootkit C&C;
138.4.249.254,80,Gootkit C&C;
139.129.250.122,443,Ransomware C&C;
14.33.25.64,443,KINS C&C;
140.113.214.68,80,Gootkit C&C;
140.117.170.107,443,Shylock C&C;
141.0.177.142,443,Dridex C&C;
141.10.91.35,443,Ransomware C&C;
141.105.69.206,443,KINS C&C;
141.105.69.206,443,Gozi MITM
141.255.167.112,447,TrickBot C&C;
141.255.167.120,443,KINS C&C;
141.255.167.123,447,TrickBot C&C;
141.255.167.124,443,TrickBot C&C;
141.5.102.15,443,Shylock C&C;
144.208.126.172,1995,Adwind C&C;
144.208.127.112,443,AKBuilder C&C;
144.208.127.126,1989,Adwind C&C;
144.208.127.142,1986,Adwind C&C;
144.208.127.72,443,ZeuS C&C;
144.217.16.189,443,Dridex C&C;
144.217.20.62,2525,Adwind C&C;
144.217.33.200,443,ZeuS C&C;
144.217.47.3,443,Ransomware C&C;
144.76.2.182,443,Ransomware C&C;
144.76.232.59,443,Ransomware C&C;
144.76.238.214,4443,Dridex C&C;
144.76.249.110,443,KINS C&C;
144.76.251.60,443,TorrentLocker C&C;
144.76.73.3,1443,Dridex C&C;
145.239.21.254,443,PandaZeuS C&C;
145.249.105.20,443,PandaZeuS C&C;
146.0.72.181,443,KINS C&C;
146.0.72.94,443,Gozi MITM
146.120.110.104,443,CryptoLocker C&C;
146.120.110.147,443,Ransomware C&C;
146.120.110.163,443,Vawtrak C&C;
146.148.124.166,443,Gootkit C&C;
146.148.124.166,80,Gootkit C&C;
146.185.128.226,8443,Dridex C&C;
146.185.221.31,443,Malware C&C;
146.185.243.3,443,Ransomware C&C;
146.185.243.51,443,TorrentLocker C&C;
146.185.243.80,443,TorrentLocker C&C;
146.185.248.22,443,Malware C&C;
146.185.248.23,443,KINS C&C;
146.185.254.139,443,Malware C&C;
146.185.254.35,443,Vawtrak C&C;
146.185.254.45,443,Vawtrak C&C;
146.255.79.165,1010,JBifrost C&C;
146.255.79.167,4343,Adwind C&C;
146.255.79.167,88,Adwind C&C;
146.255.79.169,7033,Adwind C&C;
146.255.79.170,8190,Adwind C&C;
146.255.79.170,7054,Adwind C&C;
146.255.79.173,6767,Adwind C&C;
146.255.79.173,2888,Adwind C&C;
146.255.79.174,7777,Adwind C&C;
146.255.79.175,7524,Adwind C&C;
146.255.79.186,2016,Adwind C&C;
146.255.79.187,9010,Adwind C&C;
146.71.87.103,1992,Adwind C&C;
146.71.87.11,1989,Adwind C&C;
147.156.165.26,443,Dridex C&C;
148.100.111.208,80,Gootkit C&C;
148.251.157.148,443,Dridex C&C;
148.251.222.143,80,Gootkit C&C;
148.251.46.169,53443,Dridex C&C;
148.251.72.75,443,KINS C&C;
149.154.64.70,4443,Dridex C&C;
149.154.65.73,443,KINS C&C;
149.154.69.131,443,TrickBot C&C;
149.154.70.18,443,KINS C&C;
149.154.71.146,443,TrickBot C&C;
149.154.71.223,443,Vawtrak C&C;
149.202.114.6,443,VMZeuS C&C;
149.202.127.212,443,Gootkit C&C;
149.202.127.212,80,Gootkit C&C;
149.202.153.115,443,Gozi MITM
149.202.153.125,443,Gozi MITM
149.202.251.62,443,TorrentLocker C&C;
149.210.140.212,443,KINS C&C;
149.210.158.54,53443,Dridex C&C;
149.210.180.13,4483,Dridex C&C;
149.255.36.229,7777,Adwind C&C;
149.56.201.67,80,Gootkit C&C;
149.56.9.218,8043,Dridex C&C;
149.62.168.5,4143,Dridex C&C;
149.62.173.22,12443,Dridex C&C;
150.31.38.94,443,Ransomware C&C;
151.0.13.155,443,KINS C&C;
151.0.15.219,443,Redyms C&C;
151.0.52.255,443,Redyms C&C;
151.106.2.127,7050,Adwind C&C;
151.236.18.110,443,Gootkit C&C;
151.236.18.110,80,Gootkit C&C;
151.236.216.254,2443,Dridex C&C;
151.237.6.68,443,Qadars C&C;
151.242.20.227,443,Qadars C&C;
151.248.114.96,443,KINS C&C;
151.248.118.197,443,KINS C&C;
151.248.121.8,443,Gozi C&C;
151.248.123.100,743,Dridex C&C;
151.248.123.176,443,Flokibot C&C;
151.248.125.180,443,KINS C&C;
151.248.126.202,443,KINS C&C;
151.80.10.66,443,Ransomware C&C;
151.80.142.33,1743,Dridex C&C;
151.80.176.72,443,Gootkit C&C;
151.80.176.72,80,Gootkit C&C;
151.80.216.38,443,Gozi MITM
151.80.72.64,443,Gozi MITM
151.80.84.2,447,TrickBot C&C;
151.80.84.3,447,TrickBot C&C;
151.97.243.220,443,Dridex C&C;
152.170.237.47,443,Quakbot C&C;
154.0.171.105,8443,Dridex C&C;
154.120.229.44,4043,Dridex C&C;
154.16.159.122,443,ZeuS C&C;
154.16.201.3,21777,Adwind C&C;
154.16.220.106,20901,Adwind C&C;
154.16.220.117,9010,Adwind C&C;
154.16.220.161,1101,Adwind C&C;
154.16.245.154,443,Chthonic C&C;
154.16.49.125,4087,Adwind C&C;
154.16.49.141,2087,Adwind C&C;
154.16.49.142,2087,Adwind C&C;
154.16.49.144,3087,Adwind C&C;
154.16.49.145,2087,Adwind C&C;
154.16.49.165,2087,Adwind C&C;
154.16.63.167,7878,Adwind C&C;
154.16.63.19,6045,Adwind C&C;
154.16.63.221,9909,Adwind C&C;
154.16.93.177,3465,Adwind C&C;
154.16.93.178,5678,Adwind C&C;
154.73.28.239,78,Adwind C&C;
155.94.144.93,443,Quakbot C&C;
155.94.238.28,447,TrickBot C&C;
156.17.92.161,449,TrickBot C&C;
157.252.245.29,2448,Dridex C&C;
157.252.245.32,2448,Dridex C&C;
157.252.245.49,473,Dridex C&C;
158.181.229.159,443,KINS C&C;
158.255.215.61,443,TorrentLocker C&C;
158.255.6.223,443,TorrentLocker C&C;
158.69.147.90,443,Gozi MITM
158.69.209.193,443,Dridex C&C;
159.224.26.79,443,TrickBot C&C;
159.226.92.9,4431,Dridex C&C;
159.253.19.103,443,KINS C&C;
159.253.20.116,4443,Dridex C&C;
159.253.3.233,448,Dridex C&C;
160.114.111.17,80,Gootkit C&C;
160.16.69.29,11443,Dridex C&C;
160.202.163.200,1987,Adwind C&C;
160.202.163.200,1991,Adwind C&C;
160.202.163.240,1111,Adwind C&C;
160.202.163.240,9888,Adwind C&C;
160.202.163.240,8877,Adwind C&C;
160.202.163.242,2000,Adwind C&C;
160.202.163.249,4487,Adwind C&C;
160.202.163.251,7755,Adwind C&C;
161.10.192.68,443,Quakbot C&C;
161.10.212.151,443,Quakbot C&C;
161.10.39.218,443,Quakbot C&C;
161.139.21.48,80,Gootkit C&C;
161.18.100.218,443,Quakbot C&C;
161.18.42.190,443,Quakbot C&C;
162.208.8.198,3448,Dridex C&C;
162.210.249.90,443,Gootkit C&C;
162.211.121.133,443,KINS C&C;
162.213.24.51,443,Shylock C&C;
162.217.248.241,443,Quakbot C&C;
162.218.233.81,443,Shylock C&C;
162.219.29.78,443,TorrentLocker C&C;
162.220.167.4,443,Shylock C&C;
162.220.8.120,443,KINS C&C;
162.221.183.11,443,Qadars C&C;
162.243.12.14,449,Dridex C&C;
162.243.131.29,443,Shylock C&C;
162.243.137.50,8443,Dridex C&C;
162.243.150.28,443,Shylock C&C;
162.243.47.192,1443,Dridex C&C;
162.244.67.31,4343,Dridex C&C;
162.244.76.40,3448,Dridex C&C;
162.246.61.100,80,Gootkit C&C;
162.247.154.117,443,KINS C&C;
162.247.154.118,443,KINS C&C;
162.248.241.20,443,Gozi MITM
162.248.246.229,4050,Adwind C&C;
162.248.75.99,447,TrickBot C&C;
162.251.69.133,443,KINS C&C;
162.251.84.219,4343,Dridex C&C;
162.252.175.208,443,TorrentLocker C&C;
162.253.176.224,443,Gootkit C&C;
162.255.117.34,800,AKBuilder C&C;
163.47.20.60,7777,Adwind C&C;
163.47.20.67,1975,Adwind C&C;
163.53.206.187,443,TrickBot C&C;
163.53.247.136,80,Gootkit C&C;
163.53.247.14,443,Gootkit C&C;
163.53.247.14,80,Gootkit C&C;
163.53.247.20,80,Gootkit C&C;
163.53.247.33,80,Gootkit C&C;
163.53.247.37,443,Gootkit C&C;
163.53.247.37,80,Gootkit C&C;
163.53.247.75,443,Shifu C&C;
163.53.247.79,80,Gootkit C&C;
164.132.15.78,443,TorrentLocker C&C;
164.132.221.157,443,Gozi C&C;
164.132.28.118,443,PandaZeuS C&C;
164.132.53.34,443,Dridex C&C;
164.177.159.22,4143,Dridex C&C;
165.233.159.225,444,Dridex C&C;
165.246.35.197,80,Gootkit C&C;
165.255.99.44,443,Qadars C&C;
166.149.168.187,443,Malware C&C;
166.63.124.226,443,KINS C&C;
166.78.144.68,8343,Dridex C&C;
166.78.144.80,443,Malware C&C;
166.78.174.37,443,Shylock C&C;
166.78.18.204,443,Malware C&C;
166.84.7.180,4113,Dridex C&C;
167.114.24.46,443,FindPOS C&C;
167.114.248.76,443,ZeuS C&C;
167.160.36.36,443,Qadars C&C;
167.88.8.189,447,TrickBot C&C;
168.187.96.115,443,Dridex C&C;
168.235.66.206,443,Qadars C&C;
168.235.89.81,443,Quakbot C&C;
169.239.129.47,443,PandaZeuS C&C;
169.53.155.228,443,Dridex C&C;
170.81.24.154,443,Quakbot C&C;
171.4.58.50,995,Quakbot C&C;
171.61.232.165,443,Qadars C&C;
172.104.10.121,443,PandaZeuS C&C;
172.112.229.191,443,Quakbot C&C;
172.245.130.32,443,Gootkit C&C;
172.245.130.32,80,Gootkit C&C;
172.245.57.174,2448,Dridex C&C;
172.245.62.117,443,Chthonic C&C;
172.246.126.156,443,Qadars C&C;
172.248.107.77,443,Redyms C&C;
172.75.241.225,995,Quakbot C&C;
172.81.178.93,1033,Adwind C&C;
172.82.162.246,8090,Adwind C&C;
172.91.160.50,443,Quakbot C&C;
172.93.148.168,7777,Adwind C&C;
172.93.148.175,7777,Adwind C&C;
172.93.37.143,447,TrickBot C&C;
172.94.117.219,1609,Adwind C&C;
172.98.74.191,80,Gootkit C&C;
173.14.220.253,443,Quakbot C&C;
173.203.123.102,443,Dridex C&C;
173.212.200.226,80,Gootkit C&C;
173.212.227.54,443,Dridex C&C;
173.212.248.207,5051,Adwind C&C;
173.214.162.88,443,KINS C&C;
173.230.130.172,2443,Dridex C&C;
173.25.234.18,443,Quakbot C&C;
173.254.223.124,7777,Adwind C&C;
173.254.223.83,5434,Adwind C&C;
173.254.223.88,1592,Adwind C&C;
173.254.252.209,443,ZeuS C&C;
173.27.216.49,443,Dridex C&C;
173.27.216.49,443,Quakbot C&C;
173.45.192.173,443,Dridex C&C;
173.61.183.100,2222,Quakbot C&C;
173.65.73.254,443,Redyms C&C;
173.71.98.228,443,Redyms C&C;
173.71.98.228,443,KINS C&C;
173.89.28.70,443,Qadars C&C;
174.127.99.128,3445,Adwind C&C;
174.127.99.129,1234,Adwind C&C;
174.127.99.130,2014,Adwind C&C;
174.127.99.139,2888,Adwind C&C;
174.127.99.145,7171,Adwind C&C;
174.127.99.146,7777,Adwind C&C;
174.127.99.153,7789,Adwind C&C;
174.127.99.156,4050,Adwind C&C;
174.127.99.165,1010,Adwind C&C;
174.127.99.171,2017,Adwind C&C;
174.127.99.172,8484,Adwind C&C;
174.127.99.172,4242,Adwind C&C;
174.127.99.175,7039,Adwind C&C;
174.127.99.178,5001,Adwind C&C;
174.127.99.188,8040,Adwind C&C;
174.127.99.198,2727,Adwind C&C;
174.127.99.212,54689,Adwind C&C;
174.127.99.214,1313,Adwind C&C;
174.127.99.217,3001,Adwind C&C;
174.127.99.218,8088,Adwind C&C;
174.127.99.250,7777,Adwind C&C;
174.135.45.106,443,Quakbot C&C;
174.37.216.226,8343,Dridex C&C;
175.136.183.22,443,Qadars C&C;
176.10.100.155,6789,Adwind C&C;
176.10.100.157,3020,Adwind C&C;
176.10.124.195,443,Adwind C&C;
176.10.124.195,8877,Adwind C&C;
176.10.124.196,1313,Adwind C&C;
176.10.124.197,1888,JBifrost C&C;
176.10.124.197,3487,Adwind C&C;
176.10.124.223,7777,Adwind C&C;
176.10.124.226,7033,Adwind C&C;
176.10.124.226,7777,Adwind C&C;
176.10.124.228,4147,Adwind C&C;
176.10.124.230,1566,Adwind C&C;
176.10.124.234,1903,Adwind C&C;
176.10.124.236,8073,Adwind C&C;
176.10.124.237,2556,Adwind C&C;
176.10.124.239,7790,Adwind C&C;
176.10.124.245,7000,Adwind C&C;
176.102.203.178,443,KINS C&C;
176.102.216.221,443,Redyms C&C;
176.104.102.59,443,Redyms C&C;
176.104.24.228,443,KINS C&C;
176.104.24.228,443,Redyms C&C;
176.104.32.207,443,Redyms C&C;
176.104.75.5,443,KINS C&C;
176.106.2.38,443,KINS C&C;
176.106.31.227,443,KINS C&C;
176.108.251.247,443,Redyms C&C;
176.110.22.247,443,Redyms C&C;
176.110.22.247,443,KINS C&C;
176.111.184.13,443,KINS C&C;
176.113.149.167,443,KINS C&C;
176.113.149.167,443,Redyms C&C;
176.113.233.228,443,KINS C&C;
176.113.235.26,443,Redyms C&C;
176.114.3.48,443,Vawtrak C&C;
176.114.47.28,443,KINS C&C;
176.115.155.191,443,Redyms C&C;
176.116.219.35,443,Redyms C&C;
176.118.46.39,443,Redyms C&C;
176.121.14.120,443,TorrentLocker C&C;
176.121.252.119,443,Redyms C&C;
176.122.227.28,443,Shylock C&C;
176.123.29.23,80,Gootkit C&C;
176.123.29.23,443,Gootkit C&C;
176.123.29.91,443,Malware C&C;
176.124.10.74,443,Redyms C&C;
176.126.68.81,80,Gootkit C&C;
176.15.44.120,443,Qadars C&C;
176.223.111.157,443,Gozi C&C;
176.223.111.79,443,Android Marcher C&C;
176.28.10.253,8443,Dridex C&C;
176.31.126.53,11443,Dridex C&C;
176.31.128.123,443,Bebloh C&C;
176.31.252.15,443,Nexuslogger C&C;
176.31.28.250,443,Dridex C&C;
176.31.46.70,443,PandaZeuS C&C;
176.31.69.78,443,Gootkit C&C;
176.31.69.78,80,Gootkit C&C;
176.31.75.101,13443,Dridex C&C;
176.36.174.59,443,KINS C&C;
176.36.23.31,443,KINS C&C;
176.37.225.130,443,Redyms C&C;
176.38.106.4,443,Redyms C&C;
176.53.0.103,443,Dridex C&C;
176.53.19.132,443,URLzone C&C;
176.56.236.91,80,Gootkit C&C;
176.56.237.133,443,Dridex C&C;
176.73.13.72,443,Redyms C&C;
176.8.32.193,443,KINS C&C;
176.8.78.178,443,KINS C&C;
176.9.113.214,8043,Dridex C&C;
176.9.113.216,8043,Dridex C&C;
176.9.118.201,449,Dridex C&C;
176.9.143.115,2443,Dridex C&C;
176.9.177.244,1890,KINS C&C;
176.9.238.164,80,Gootkit C&C;
176.9.39.214,443,Gozi MITM
176.9.99.134,443,AKBuilder C&C;
176.98.20.110,443,KINS C&C;
